PMID, reviewer, use RR?
11298545, amdrucker, True
11298545, ttrikalin, False
11312429, gpadam, True
11312429, vlangber, False
12224977, amdrucker, True
12224977, agazula, False
12452875, amdrucker, True
12452875, bryantadmin, False
12653747, ttrikalin, True
12653747, bryantadmin, False
14732655, ttrikalin, True
14732655, vlangber, False
15097956, bryantadmin, True
15097956, famousta, False
12196749, agazula, True
12196749, ttrikalin, False
15377354, vlangber, True
15377354, gpadam, False
15606733, bryantadmin, True
15606733, gpadam, False
15888150, gpadam, True
15888150, amdrucker, False
16393600, vlangber, True
16393600, ttrikalin, False
16713457, famousta, True
16713457, amdrucker, False
16785375, vlangber, True
16785375, amdrucker, False